title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2013 Chevy Impala,"8,400",https://calgary.craigslist.org/cto/d/calgary-2013-chevy-impala/7502768980.html,183000,,clean,automatic,2013 chevrolet impala,,,,1
"🔥2014 Hyundai Genesis RWD 2.0T Coupe: Local, No Accidents","16,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2014-hyundai-genesis/7492099092.html,84080,,clean,manual,2014 Hyundai Genesis,rwd,coupe,4 cylinders,2
"🔥2016 Ram 1500 4WD Laramie Crew Cab Pickup | Local, Accident-Free","39,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2016-ram-wd-laramie/7502682768.html,101807,,clean,automatic,2016 Ram 1500,4wd,truck,8 cylinders,3
*********FOOD TRUCK FOR SALE*****,"129,000",https://calgary.craigslist.org/cto/d/richmond-food-truck-for-sale/7490370947.html,153000,,clean,automatic,2003 freightliner,,,,4
"🔥2018 Honda CR-V AWD Touring SUV | No Accidents, 1-Owner","33,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2018-honda-cr-awd/7502682841.html,97980,,clean,automatic,2018 Honda CR-V,4wd,SUV,4 cylinders,5
2017 MERCEDES-BENZ G550 4X4 SQUARED! LOCAL BC! OWN A PIECE OF HISTORY!,"269,900",https://calgary.craigslist.org/ctd/d/langley-city-2017-mercedes-benz-g550/7490654320.html,54000,,clean,automatic,2017 Mercedes-Benz G550 4x4 Squared,4wd,SUV,8 cylinders,6
"🔥2016 Mitsubishi Outlander 4WD SE SUV | No Accidents, 1-Owner","19,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2016-mitsubishi/7492099557.html,138995,,clean,automatic,2016 Mitsubishi Outlander,4wd,SUV,6 cylinders,7
Ford 1950,"32,000",https://calgary.craigslist.org/cto/d/south-okanagan-ford-1950/7486725211.html,1000000,,clean,automatic,1950 Ford sedan,rwd,sedan,8 cylinders,8
2011 Audi R8 Quattro 5.2L V10 2 Dr. Coupe - Daytona Gray,"134,500",https://kelowna.craigslist.org/ctd/d/abbotsford-2011-audi-r8-quattro-52l-v10/7499844720.html,19420,,clean,automatic,2011 audi r8 v10 quattro,4wd,,,9
2021 FORD F-150 LIMITED POWERBOOST HYBRID! SKIP THE WAITLIST!,"104,900",https://calgary.craigslist.org/ctd/d/langley-city-2021-ford-150-limited/7491090984.html,11900,,clean,automatic,2021 Ford F-150 Limited,4wd,truck,6 cylinders,10
"🔥2018 Acura MDX AWD Elite SUV | BC Local, Low KMs","42,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2018-acura-mdx-awd/7492099912.html,86210,,clean,automatic,2018 Acura MDX,4wd,SUV,6 cylinders,11
Mint camper/cargo van,"22,500",https://calgary.craigslist.org/cto/d/canmore-mint-camper-cargo-van/7491227674.html,166500,,clean,automatic,2006 chevrolet express 2500,rwd,van,,12
1970 ford econoline E300 Club Wagon camper van,"10,000",https://calgary.craigslist.org/cto/d/strathmore-1970-ford-econoline-e300/7491609588.html,75000,E34GHH34769,clean,automatic,1970 ford econoline e300,rwd,van,8 cylinders,13
"🔥2016 Subaru WRX AWD w/SPORT-TECH PKG Sedan | 6-Spd, Local, 1-Owner","26,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2016-subaru-wrx-awd/7501810442.html,106245,,clean,manual,2016 Subaru WRX,4wd,sedan,4 cylinders,14
🔥2020 Honda CR-V AWD EX-L SUV: Honda Certified 7yrs*Warranty,"39,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2020-honda-cr-awd-ex/7500868376.html,29755,,clean,automatic,2020 Honda CR-V,4wd,SUV,4 cylinders,15
"2014 Dodge Challenger RT SHAKER  ... Only 36,000 kms","37,887",https://calgary.craigslist.org/ctd/d/calgary-2014-dodge-challenger-rt-shaker/7480321392.html,36000,,clean,automatic,2014 dodge challenger r/t,rwd,,8 cylinders,16
"🔥2004 INFINITI G35 RWD Coupe: BC Vehicle, Clean Unit","7,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2004-infiniti-g35-rwd/7498009727.html,189033,,clean,automatic,2004 INFINITI G35,rwd,coupe,6 cylinders,17
Sedan 05 Hyundai Elantra GLS,"1,014",https://calgary.craigslist.org/cto/d/calgary-sedan-05-hyundai-elantra-gls/7493046146.html,159700,,clean,automatic,2005 elantra,,sedan,,18
"🔥2016 Dodge Grand Caravan Crew Plus Minivan: Clean Unit, BC Vehicle","19,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2016-dodge-grand/7498008690.html,130453,,clean,automatic,2016 Dodge Grand Caravan,fwd,mini-van,6 cylinders,19
2014 Dodge Ram 1500 Outdoorsman,"20,000",https://calgary.craigslist.org/cto/d/calgary-2014-dodge-ram-1500-outdoorsman/7493171155.html,210000,1C6RR7LT7ES325985,clean,automatic,2014 2014 dodge ram 1500,4wd,truck,8 cylinders,20
Chevrolet Colorado,"34,000",https://calgary.craigslist.org/cto/d/cochrane-chevrolet-colorado/7495720161.html,46000,,clean,automatic,2019 chevrolet colorado,4wd,truck,6 cylinders,21
🔥2014 Mazda MX-5 Miata RWD Grand Touring Convertible: Accident-Free!,"22,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2014-mazda-mx-miata-rwd/7498011360.html,160005,,clean,automatic,2014 Mazda MX-5,rwd,convertible,4 cylinders,22
2021 AUDI RS6 AVANT! SKIP THE 2-YR WAIT! HIGHLY OPTIONED! CLAIM FREE!,"179,900",https://calgary.craigslist.org/ctd/d/langley-city-2021-audi-rs6-avant-skip/7496069739.html,6500,,clean,automatic,2021 Audi RS6 Avant,4wd,wagon,8 cylinders,23
"🔥2016 Mazda CX-5 AWD GT SUV: Local Unit, Low KMs, 1-Owner","26,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2016-mazda-cx-awd-gt/7498010428.html,102278,,clean,automatic,2016 Mazda CX-5,4wd,SUV,4 cylinders,24
Selling 2014 Ram 1500 Crewcab,"19,000",https://calgary.craigslist.org/cto/d/alhambra-selling-2014-ram-1500-crewcab/7496114142.html,247269,,clean,automatic,2014 dodge ram 1500 slt,4wd,truck,8 cylinders,25
"🔥2016 Nissan Frontier 4WD PRO-4X Crew Cab Pickup: Local, No Accidents","31,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2016-nissan-frontier/7499108103.html,121032,,clean,automatic,2016 Nissan Frontier,4wd,pickup,6 cylinders,26
1972 Ford Mustang Fastback,"28,000",https://calgary.craigslist.org/cto/d/vancouver-1972-ford-mustang-fastback/7496292209.html,100000,,clean,automatic,1972 ford mustang,,,,27
"🔥2015 Nissan Titan 4WD S Pickup Crew Cab: Low KMs, Accident-Free","28,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2015-nissan-titan-4wd/7499999529.html,66452,,clean,automatic,2015 Nissan Titan,4wd,truck,8 cylinders,28
1994 Skyline R33 GTS,"96,000",https://calgary.craigslist.org/cto/d/vancouver-1994-skyline-r33-gts/7496293957.html,100000,,clean,manual,1994 nissan skyline,,,,29
"🔥2022 Acura MDX AWD Platinum Elite SUV | Loaded, Low KMs, No Accident","71,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2022-acura-mdx-awd/7502685628.html,18007,,clean,automatic,2022 Acura MDX,4wd,SUV,6 cylinders,30
1972 Chevrolet Camaro SS,"32,000",https://calgary.craigslist.org/ctd/d/vancouver-1972-chevrolet-camaro-ss/7496302541.html,100000,,clean,automatic,1972 chevrolet camaro,,,,31
"🔥2018 GMC Sierra 1500 4WD Denali Pickup BC Vehicle, 56K KMs Only","54,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2018-gmc-sierra-wd/7500001998.html,56350,,clean,automatic,2018 GMC Sierra 1500,4wd,truck,8 cylinders,32
🔥2021 Honda CR-V AWD EX-L SUV | Honda Certified 7yrs*Warranty,"41,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2021-honda-cr-awd-ex/7500873607.html,40633,,clean,automatic,2021 Honda CR-V,4wd,SUV,4 cylinders,33
"🔥2022 Acura MDX AWD Platinum Elite SUV | Loaded, Low KMs, No Accident","71,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2022-acura-mdx-awd/7502685865.html,18007,,clean,automatic,2022 Acura MDX,4wd,SUV,6 cylinders,34
"🔥2018 Chevrolet Suburban 4WD LT SUV | BC Local, No Accidents","57,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2018-chevrolet-suburban/7501809093.html,84509,,clean,automatic,2018 Chevrolet Suburban,4wd,SUV,8 cylinders,35
"🔥2015 Mercedes-Benz AWD CLA 250 Sedan | Local, Loaded, Low KMs","24,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2015-mercedes-benz-awd/7501811230.html,84108,,clean,automatic,2015 Mercedes-Benz CLA 250,4wd,sedan,4 cylinders,36
🔥2019 Honda Civic Touring Sedan | Honda Certified 7yrs*Warranty,"29,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2019-honda-civic/7502688070.html,27436,,clean,automatic,2019 Honda Civic,fwd,sedan,4 cylinders,37
🔥2020 Honda CR-V AWD LX SUV | Honda Certified 7yrs*Warranty,"35,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2020-honda-cr-awd-lx/7502688803.html,24852,,clean,automatic,2020 Honda CR-V,4wd,SUV,4 cylinders,38
