title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2006 Honda Civic Sedan,"1,600",https://edmonton.craigslist.org/cto/d/edmonton-west-2006-honda-civic-sedan/7502751666.html,139485,,clean,automatic,2006 civic,fwd,,,1
"2014 Dodge Challenger RT SHAKER  ... Only 36,000 kms","37,887",https://calgary.craigslist.org/ctd/d/calgary-2014-dodge-challenger-rt-shaker/7480321392.html,36000,,clean,automatic,2014 dodge challenger r/t,rwd,,8 cylinders,2
2014 Dodge Ram 1500 Longhorn,"32,000",https://reddeer.craigslist.org/cto/d/red-deer-2014-dodge-ram-1500-longhorn/7492622154.html,156000,,clean,automatic,2014 dodge ram 1500,4wd,truck,8 cylinders,3
2009 Nissan Murano,"12,500",https://edmonton.craigslist.org/cto/d/beaumont-2009-nissan-murano/7485470130.html,165000,,clean,automatic,2009 nissan murano,,SUV,6 cylinders,4
Sedan 05 Hyundai Elantra GLS,"1,014",https://calgary.craigslist.org/cto/d/calgary-sedan-05-hyundai-elantra-gls/7493046146.html,159700,,clean,automatic,2005 elantra,,sedan,,5
Nissan X-Trail with Cargo Trailer,"14,500",https://reddeer.craigslist.org/cto/d/ponoka-nissan-trail-with-cargo-trailer/7494987076.html,247500,,rebuilt,manual,2005 Nissan X-Trail,4wd,SUV,4 cylinders,6
2014 Dodge Ram 1500 Outdoorsman,"20,000",https://calgary.craigslist.org/cto/d/calgary-2014-dodge-ram-1500-outdoorsman/7493171155.html,210000,1C6RR7LT7ES325985,clean,automatic,2014 2014 dodge ram 1500,4wd,truck,8 cylinders,7
2014 ford eacape,"10,000",https://edmonton.craigslist.org/cto/d/calmar-2014-ford-eacape/7486062333.html,191000,,clean,automatic,2014 ford escape,4wd,SUV,4 cylinders,8
Chevrolet Colorado,"34,000",https://calgary.craigslist.org/cto/d/cochrane-chevrolet-colorado/7495720161.html,46000,,clean,automatic,2019 chevrolet colorado,4wd,truck,6 cylinders,9
2020 MERCEDES-BENZ AMG S63 CABRIOLET! RARE! LIKE NEW! ONLY 4000KM!,"244,900",https://edmonton.craigslist.org/ctd/d/langley-city-2020-mercedes-benz-amg-s63/7486292592.html,4000,,clean,automatic,2020 Mercedes-Benz AMG S63 Cabriolet,4wd,convertible,8 cylinders,10
2021 AUDI RS6 AVANT! SKIP THE 2-YR WAIT! HIGHLY OPTIONED! CLAIM FREE!,"179,900",https://calgary.craigslist.org/ctd/d/langley-city-2021-audi-rs6-avant-skip/7496069739.html,6500,,clean,automatic,2021 Audi RS6 Avant,4wd,wagon,8 cylinders,11
OLD GM SCHOOL BUS,"2,500",https://edmonton.craigslist.org/cto/d/gainford-old-gm-school-bus/7486553998.html,00000,,clean,manual,1964 GM SCHOOL BUS,rwd,bus,other,12
Selling 2014 Ram 1500 Crewcab,"19,000",https://calgary.craigslist.org/cto/d/alhambra-selling-2014-ram-1500-crewcab/7496114142.html,247269,,clean,automatic,2014 dodge ram 1500 slt,4wd,truck,8 cylinders,13
2018 Ford F-350 XLT FX4,"84,988",https://edmonton.craigslist.org/ctd/d/maple-ridge-2018-ford-350-xlt-fx4/7486587354.html,57500,,clean,automatic,2018 Ford F-350 XLT FX4,4wd,,8 cylinders,14
1972 Ford Mustang Fastback,"28,000",https://calgary.craigslist.org/cto/d/vancouver-1972-ford-mustang-fastback/7496292209.html,100000,,clean,automatic,1972 ford mustang,,,,15
"Honda Accord Sport Sedan 2016, SunRoof","26,000",https://edmonton.craigslist.org/cto/d/edmonton-honda-accord-sport-sedan-2016/7486670816.html,64794,,clean,automatic,2016 Honda accord Sport,,sedan,4 cylinders,16
1994 Skyline R33 GTS,"96,000",https://calgary.craigslist.org/cto/d/vancouver-1994-skyline-r33-gts/7496293957.html,100000,,clean,manual,1994 nissan skyline,,,,17
GMC Sierra 1500 2007 SLT,"8,000",https://edmonton.craigslist.org/cto/d/edmonton-gmc-sierra-slt/7486926728.html,275000,,clean,automatic,2007 gmc sierra 1500,4wd,,,18
1972 Chevrolet Camaro SS,"32,000",https://calgary.craigslist.org/ctd/d/vancouver-1972-chevrolet-camaro-ss/7496302541.html,100000,,clean,automatic,1972 chevrolet camaro,,,,19
Food Truck Coffee Truck,"98,000",https://edmonton.craigslist.org/cto/d/surrey-east-food-truck-coffee-truck/7487442680.html,10000,,clean,automatic,1988 gmc,,,,20
Classic 4x4 GMC Sierra Rollout Tooxbox Cover,"10,497",https://edmonton.craigslist.org/cto/d/edmonton-classic-4x4-gmc-sierra-rollout/7487552020.html,212000,,clean,automatic,2002 gmc sierra 1500,4wd,truck,,21
2004 Dodge Ram 3500 SLT 4WD LONG BOX QUAD CAB 5.9L CUMMINS DIESEL,"29,888",https://ftmcmurray.craigslist.org/ctd/d/2004-dodge-ram-3500-slt-4wd-long-box/7484616810.html,262841,3D7LU38C14G209790,clean,automatic,2004 Dodge Ram 3500,4wd,pickup,,22
1966 Ford Mustang Fastback GT350,,https://calgary.craigslist.org/ctd/d/vancouver-1966-ford-mustang-fastback/7496306338.html,100000,,clean,manual,1966 ford mustang,,,,23
2020 Rav 4,"40,000",https://edmonton.craigslist.org/cto/d/edmonton-2020-rav/7488093429.html,35000,,clean,automatic,2020 2002 toyota rav4,4wd,SUV,4 cylinders,24
1954 Chevrolet 3100 Truck,"39,000",https://calgary.craigslist.org/ctd/d/vancouver-1954-chevrolet-3100-truck/7496309536.html,100000,,clean,automatic,1954 chevrolet 3100 truck,,,,25
2011 Dodge Avenger SXT 2.4L 4CYL AUTO SUNROOF ALLOYS 140KM,"9,488",https://ftmcmurray.craigslist.org/ctd/d/2011-dodge-avenger-sxt-24l-4cyl-auto/7484614201.html,139210,1B3BD1FB3BN564163,clean,automatic,2011 Dodge Avenger,fwd,sedan,,26
2014 Chevrolet Silverado 2500HD LTZ Z71 4WD DIESEL LEATHER CAMERA LIFTED TUNED D,"48,888",https://ftmcmurray.craigslist.org/ctd/d/2014-chevrolet-silverado-2500hd-ltz-z71/7484611405.html,248723,1GC1KYE8XEF164548,clean,automatic,2014 Chevrolet Silverado 2500HD,4wd,pickup,,27
2022 CHEVROLET CORVETTE STINGRAY Z51! ONLY 250KM! TAKE IT HOME TODAY!,"149,900",https://edmonton.craigslist.org/ctd/d/langley-city-2022-chevrolet-corvette/7488226752.html,250,,clean,automatic,2022 Chevrolet Corvette Stingray Z51,rwd,coupe,8 cylinders,28
1969 Porsche 911,"147,000",https://calgary.craigslist.org/ctd/d/vancouver-1969-porsche-911/7496345555.html,100000,,clean,manual,1969 porsche 911,,,,29
1981 Ford F150,"8,600",https://lethbridge.craigslist.org/cto/d/international-border-region-1981-ford/7496622946.html,450000,,clean,automatic,1981 1981 Ford F150,,pickup,8 cylinders,30
2015 Chevrolet Silverado 2500HD High Country 4WD DIESEL SUNROOF NAVI DVD CAMERA,"52,888",https://ftmcmurray.craigslist.org/ctd/d/2015-chevrolet-silverado-2500hd-high/7484608504.html,239615,1GC1KXE8XFF548549,clean,automatic,2015 Chevrolet Silverado 2500HD,4wd,pickup,,31
2001 Chevrolet Venture,"1,500",https://lethbridge.craigslist.org/cto/d/international-border-region-2001/7496722329.html,200000,,clean,automatic,2001 chevrolet venture,,,,32
"2015 BMW M3 - DCT, Silverstone, Ceramic, M-Exhaust","63,000",https://calgary.craigslist.org/cto/d/chestermere-2015-bmw-m3-dct-silverstone/7496358701.html,68000,,clean,automatic,2015 bmw m3 sedan,rwd,,6 cylinders,33
2017 Toyota Highlander,"33,500",https://edmonton.craigslist.org/cto/d/edmonton-2017-toyota-highlander/7488397434.html,127762,,clean,automatic,2017 2017 Toyota Highlander,,SUV,,34
2018 Chevrolet Silverado 1500 LT Z71 4WD CREW 5.3L V8 PWR SEAT CAMERA,"41,888",https://ftmcmurray.craigslist.org/ctd/d/2018-chevrolet-silverado-1500-lt-z71/7484605474.html,108960,3GCUKREC6JG114665,clean,automatic,2018 Chevrolet Silverado 1500,4wd,pickup,,35
1984 Porsche 911 Carrera,"96,000",https://calgary.craigslist.org/ctd/d/vancouver-1984-porsche-911-carrera/7496366804.html,100000,,clean,manual,1984 porsche 911,,,,36
2010 F150 Ford 4x4,"8,000",https://edmonton.craigslist.org/cto/d/drayton-valley-2010-f150-ford-4x4/7488438637.html,267000,,clean,automatic,2010 2010 ford f150 supercrew,4wd,truck,8 cylinders,37
2019 Chevrolet Silverado 1500 Silverado Custom 5.3L V8 4WD CAMERA REMOTE START,"43,888",https://ftmcmurray.craigslist.org/ctd/d/2019-chevrolet-silverado-1500-silverado/7484602346.html,122411,1GCRYBEF2KZ232316,clean,automatic,2019 Chevrolet Silverado 1500,4wd,pickup,,38
2001 Nissan Silvia S15 R,"49,800",https://calgary.craigslist.org/ctd/d/vancouver-2001-nissan-silvia-s15/7496384937.html,100000,,clean,manual,2001 nissan silvia,,,,39
"2020 MERCEDES-BENZ AMG G63 GWAGON! LIKE NEW, NO CLAIMS, LOCAL BC CAR!","319,900",https://edmonton.craigslist.org/ctd/d/langley-city-2020-mercedes-benz-amg-g63/7488670234.html,10000,,clean,automatic,2020 Mercedes-Benz AMG G63,4wd,SUV,8 cylinders,40
2020 Chevrolet Silverado 3500HD LTZ LB DRW 4WD DIESEL LEATHER SUNROOF NAVI CAMER,"87,999",https://ftmcmurray.craigslist.org/ctd/d/2020-chevrolet-silverado-3500hd-ltz-lb/7484599112.html,164800,1GC4YUEY5LF238038,clean,automatic,2020 Chevrolet Silverado 3500HD,4wd,pickup,,41
1970 Ford Mustang Boss 302,"60,000",https://calgary.craigslist.org/ctd/d/vancouver-1970-ford-mustang-boss-302/7496390290.html,100000,,clean,automatic,1970 ford mustang,,,,42
1989 Chevrolet Astro Camper,"3,500",https://edmonton.craigslist.org/cto/d/north-vancouver-1989-chevrolet-astro/7488754663.html,300000,,clean,automatic,1989 chevrolet astro,rwd,,4 cylinders,43
1952 Ford F100 Truck,"35,000",https://calgary.craigslist.org/ctd/d/vancouver-1952-ford-f100-truck/7496400877.html,100000,,clean,automatic,1952 ford f100,,,,44
2014 Audi A7 TDI Technik S-LINE QUATTRO DIESEL NAVI SUNROOF 360,"42,888",https://ftmcmurray.craigslist.org/ctd/d/2014-audi-a7-tdi-technik-line-quattro/7484596014.html,128425,WAU3MCFC7EN007894,clean,automatic,2014 Audi A7,4wd,hatchback,,45
1967 Pontiac GTO,"48,000",https://calgary.craigslist.org/ctd/d/vancouver-1967-pontiac-gto/7496414068.html,100000,,clean,automatic,1967 pontiac gto,,,,46
2011 328i X Drive,"9,000",https://calgary.craigslist.org/cto/d/calgary-x-drive/7496655965.html,186000,,clean,automatic,2011 bmw 328xi,4wd,sedan,6 cylinders,47
1998 jeep Wrangler,"1,900",https://calgary.craigslist.org/cto/d/calgary-1998-jeep-wrangler/7496808616.html,172600,,clean,automatic,1998 wrangler,,,,48
2002 Camaro Z28  LS1 9900 kms,"30,500",https://calgary.craigslist.org/cto/d/calgary-2002-camaro-z28-ls-kms/7496975008.html,9900,,clean,automatic,2002 Camaro Z28 LS1,rwd,hatchback,8 cylinders,49
2014 honda civic si,"16,000",https://peace.craigslist.org/cto/d/dawson-creek-2014-honda-civic-si/7498354500.html,166000,,clean,manual,2014 honda civic,fwd,coupe,4 cylinders,50
2006 ford ranger 4x4,"7,000",https://hat.craigslist.org/cto/d/medicine-hat-central-2006-ford-ranger/7498362142.html,304698,,clean,automatic,2006 ford ranger,4wd,pickup,6 cylinders,51
2005 Mustang GT Saleen Intercooled Supercharged,"21,950",https://calgary.craigslist.org/cto/d/calgary-2005-mustang-gt-saleen/7496980511.html,130000,,clean,manual,2005 Mustang GT Saleen Supercharged,rwd,coupe,8 cylinders,52
2020 CADILLAC ESCALADE ESV SPORT PLATIMUM,"103,800",https://calgary.craigslist.org/ctd/d/bowen-island-2020-cadillac-escalade-esv/7485076525.html,24000,,clean,automatic,2020 cadillac escalade esv,4wd,SUV,8 cylinders,53
International 1000-A,"10,000",https://lethbridge.craigslist.org/cto/d/lethbridge-southeast-international-1000/7498599475.html,1,,clean,automatic,1967 International 1000 A,rwd,,6 cylinders,54
2005 Porsche CayenneS,"8,500",https://hat.craigslist.org/cto/d/brooks-2005-porsche-cayennes/7498714188.html,123456,,clean,automatic,2005 porsche cayenne,4wd,SUV,8 cylinders,55
2020 CADILLAC ESCALADE ESV SPORT PLATIMUM,"103,800",https://calgary.craigslist.org/ctd/d/bowen-island-2020-cadillac-escalade-esv/7485076627.html,24000,,clean,automatic,2020 cadillac escalade esv,4wd,SUV,8 cylinders,56
2020 CADILLAC ESCALADE ESV SPORT PLATIMUM,"103,800",https://calgary.craigslist.org/ctd/d/bowen-island-2020-cadillac-escalade-esv/7485076665.html,24000,,clean,automatic,2020 cadillac escalade esv,4wd,SUV,8 cylinders,57
