title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2016 F150 37400 kms,"35,500",https://pei.craigslist.org/cto/d/amherst-2016-kms/7490233667.html,37400,,clean,automatic,2016 ford f-150,4wd,truck,6 cylinders,1
Mercedes 300D w123,"10,000",https://newbrunswick.craigslist.org/cto/d/harvey-mercedes-300d-w123/7487059855.html,578000,,clean,automatic,1984 mercedes 300d,rwd,sedan,5 cylinders,2
2006 Honda Civic EX Auto,"1,600",https://halifax.craigslist.org/cto/d/halifax-lower-harbour-2006-honda-civic/7502769954.html,139485,,clean,automatic,2006 honda,,sedan,,3
camaro for sale,"63,000",https://newbrunswick.craigslist.org/cto/d/fredericton-camaro-for-sale/7499414224.html,6300,1G1FH3D76J0100450,clean,automatic,2018 Chevrolet Camaro 2SS,rwd,convertible,8 cylinders,4
Great Shuttle Bus for Sale,"65,000",https://pei.craigslist.org/cto/d/kings-great-shuttle-bus-for-sale/7498176497.html,202000,,clean,automatic,2016 Ford,,bus,10 cylinders,5
2010 CHEVY STEP VAN 26FT GAS,"13,000",https://halifax.craigslist.org/ctd/d/lower-sackville-south-2010-chevy-step/7484755650.html,201757,5B4LFG2E1C3448091,clean,automatic,2010 CHEVY WORKHORSE,rwd,other,8 cylinders,6
1986 Honda Prelude,"3,900",https://halifax.craigslist.org/cto/d/halifax-1986-honda-prelude/7488791336.html,364240,,clean,manual,1986 honda prelude,fwd,coupe,4 cylinders,7
2010 DODGE JOURNEY,"1,800",https://newbrunswick.craigslist.org/cto/d/fredericton-north-2010-dodge-journey/7499631817.html,178500,,clean,automatic,2010 dodge journey,4wd,SUV,6 cylinders,8
"2006 Toyota Matrix 170,500","1,900",https://halifax.craigslist.org/cto/d/baddeck-2006-toyota-matrix/7492914507.html,170500,,clean,automatic,2006 toyota matrix,fwd,SUV,4 cylinders,9
"2006 Toyota Matrix 170,500","1,900",https://halifax.craigslist.org/cto/d/baddeck-2006-toyota-matrix/7492915108.html,170500,,clean,automatic,2006 toyota matrix,fwd,SUV,4 cylinders,10
1996 Camaro,"11,500",https://halifax.craigslist.org/cto/d/west-annapolis-county-1996-camaro/7494019809.html,280000,,clean,automatic,1996 chevrolet camaro,,,,11
2007 Honda Accord SE automatic,"2,000",https://halifax.craigslist.org/cto/d/halifax-2007-honda-accord-se-automatic/7496296309.html,331844,,clean,automatic,2007 honda accord 2-door coupe,fwd,coupe,,12
2013 Volkswagen Passat,"14,750",https://halifax.craigslist.org/cto/d/halifax-lower-harbour-2013-volkswagen/7497629741.html,120000,,clean,automatic,2013 2013 volkswagen passat,,,,13
honda fit 2019,"20,000",https://halifax.craigslist.org/cto/d/lower-sackville-honda-fit-2019/7498648581.html,110000,,clean,automatic,2019 honda fit,,hatchback,,14
2005 Ford Truck f150XL,"2,400",https://halifax.craigslist.org/cto/d/halifax-2005-ford-truck-f150xl/7502598365.html,250000,,clean,automatic,2005 ford f150,4wd,pickup,,15
