title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2012 GMC Sierra 1500 Crew Cab,"14,500",https://ottawa.craigslist.org/cto/d/stittsville-2012-gmc-sierra-1500-crew/7502459837.html,190000,,clean,automatic,2012 gmc sierra 1500,rwd,pickup,8 cylinders,1
"2008 CHEVROLET COBALT , AUTOMATIQUE , 4 CYLINDRES 2.2 LITRES",2 299,https://montreal.craigslist.org/ctd/d/2008-chevrolet-cobalt-automatique/7500479766.html,,,,,2008 chevrolet cobalt,,,,2
1975 MG MGB Mk IV-Convertible Antique,"9,000",https://peterborough.craigslist.org/cto/d/lindsay-1975-mg-mgb-mk-iv-convertible/7501129759.html,110800,,clean,manual,1975 mg mgb,rwd,convertible,4 cylinders,3
2003 F250 SuperDuty,"6,999",https://kingston.craigslist.org/cto/d/odessa-2003-f250-superduty/7500562172.html,257000,,clean,automatic,2003 ford f250 super duty,4wd,truck,,4
2013 Honda CR-V 5dr LX,13 995,https://montreal.craigslist.org/ctd/d/2013-honda-cr-5dr-lx/7500706355.html,,,,,2013 Honda CR-V,,,,5
2012 Honda Odyssey 5dr LX,12 995,https://montreal.craigslist.org/ctd/d/2012-honda-odyssey-5dr-lx/7500711074.html,,,,,2012 Honda Odyssey,,,,6
2011 Honda Pilot 4WD 4dr Touring w/RES & Navi,14 998,https://montreal.craigslist.org/ctd/d/2011-honda-pilot-4wd-4dr-touring-res/7500715725.html,,,,,2011 Honda Pilot,,,,7
2008 Honda Civic Sdn 4dr Auto EX,6 998,https://montreal.craigslist.org/ctd/d/2008-honda-civic-sdn-4dr-auto-ex/7500720353.html,,,,,2008 Honda Civic Sdn,,,,8
"Toute nouvelle Toyota Corolla Cross 2022 LE AWD, brand new.",34 900,https://montreal.craigslist.org/cto/d/chomedey-northeast-toute-nouvelle/7500724060.html,,,,,2022 Toyota Corolla Cross 2022 LE AWD,,,,9
2008 Nissan Versa 5dr HB I4 CVT 1.8 SL,3 998,https://montreal.craigslist.org/ctd/d/2008-nissan-versa-5dr-hb-i4-cvt-18-sl/7500725065.html,,,,,2008 Nissan Versa,,,,10
2013 Toyota RAV4 AWD 4dr LE,17 998,https://montreal.craigslist.org/ctd/d/2013-toyota-rav4-awd-4dr-le/7500729918.html,,,,,2013 Toyota RAV4,,,,11
2003 Dodge RAM 1500 SLT,2 650,https://montreal.craigslist.org/cto/d/montreal-2003-dodge-ram-1500-slt/7500888848.html,,,,,2003 dodge ram,,,,12
toyota matrix  if need  work no problem,5 899,https://montreal.craigslist.org/cto/d/toyota-matrix-if-need-work-no-problem/7499216960.html,,,,,2007 toyota prius,,,,13
Mazda  5    G S NO RUST A1 TRES BAS KM !  1 OWNER S,4 900,https://montreal.craigslist.org/cto/d/cte-saint-luc-west-mazda-g-no-rust-a1/7500077472.html,,,,,2010 mazda 5 gs,,,,14
2005 Honda CR-V SUV Red 4WD,1 350,https://montreal.craigslist.org/cto/d/cte-des-neiges-southwest-2005-honda-cr/7501234584.html,,,,,2005 hodna crv ex,,,,15
J'achete votre Auto,1,https://montreal.craigslist.org/cto/d/montreal-jachete-votre-auto/7489965359.html,,,,,2021 any,,,,16
"2015 Chrysler 200 4drs,limited series.",,https://montreal.craigslist.org/cto/d/montreal-2015-chrysler-200-4drslimited/7498056949.html,,,,,2015 chrysler 200,,,,17
Mazda  5    G S NO RUST A1 TRES BAS KM !  1 OWNER S,4 900,https://montreal.craigslist.org/cto/d/cte-saint-luc-west-mazda-g-no-rust-a1/7498057929.html,,,,,2010 mazda 5 gs,,,,18
Camper Van Ford E250,8 000,https://montreal.craigslist.org/cto/d/beloeil-east-camper-van-ford-e250/7492281946.html,,,,,2006 Ford E250,,,,19
2010 Volkswagen GOLF BASE,3 300,https://montreal.craigslist.org/ctd/d/notre-dame-de-grce-northeast-2010/7498837138.html,,,,,2010 volkswagen golf,,,,20
2005 Toyota Camry SE 4dr Sdn Auto,5 495,https://montreal.craigslist.org/ctd/d/2005-toyota-camry-se-4dr-sdn-auto/7487431129.html,,,,,2005 toyota camry se,,,,21
2010 Acura TL SH-AWD TECH PACK BLUETOOTH/TOIT OUVRANT,9 900,https://montreal.craigslist.org/ctd/d/roxboro-2010-acura-tl-sh-awd-tech-pack/7487428849.html,,,,,2010 ACURA TL,,,,22
Nissan silvia s15 RB25 1999,62 000,https://troisrivieres.craigslist.org/cto/d/mauricie-nissan-silvia-s15-rb/7499529997.html,,,,,1999 nissan,,,,23
2009 Subaru Impreza 5dr HB,4 995,https://montreal.craigslist.org/ctd/d/roxboro-2009-subaru-impreza-5dr-hb/7487417339.html,,,,,2009 subaru impreza,,,,24
