title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2006 Honda Civic EX 1.8L,"1,600",https://saskatoon.craigslist.org/cto/d/saskatoon-southwest-2006-honda-civic-ex/7502762898.html,139485,,clean,automatic,2006 honda,,,4 cylinders,1
beautiful sedan,"8,800",https://edmonton.craigslist.org/cto/d/edmonton-beautiful-sedan/7501404767.html,200000,,clean,automatic,2015 kia forte,fwd,sedan,4 cylinders,2
2009 Subaru Forester 2.5X Touring,"2,000",https://reddeer.craigslist.org/cto/d/red-deer-county-2009-subaru-forester/7501563112.html,168000,,clean,automatic,2009 subaru forester 2.5x,,,,3
2009 Subaru Forester 2.5X Touring,"2,000",https://hat.craigslist.org/cto/d/medicine-hat-south-2009-subaru-forester/7501558637.html,168000,,clean,automatic,2009 subaru forester 2.5x,,,,4
2018 Chevrolet Silverado in great condition,"27,000",https://edmonton.craigslist.org/cto/d/edmonton-2018-chevrolet-silverado-in/7501579675.html,157000,3GCUKNEC2JG598455,clean,automatic,2018 chevrolet silverado,4wd,truck,8 cylinders,5
2004 Chevrolet Silverado ss,"8,500",https://edmonton.craigslist.org/cto/d/edmonton-2004-chevrolet-silverado-ss/7501636555.html,275000,,clean,automatic,2004 chevrolet silverado ss,,pickup,,6
Poulan tractor lawnmower,800,https://edmonton.craigslist.org/cto/d/edmonton-poulan-tractor-lawnmower/7501783218.html,123456,,clean,automatic,2021 Poulan,rwd,other,other,7
2015 Chevy Silverado,"70,000",https://edmonton.craigslist.org/cto/d/smoky-lake-2015-chevy-silverado/7501939887.html,138000,,clean,automatic,2015 chevrolet silverado,,pickup,,8
2011 RAM 5500 - 9FT FLAT BED / DUMP TRUCK *6.7L CUMMINS 4X4 *ONLY 147K,"61,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2011-ram-ft-flat-bed-dump/7500912732.html,147000,,clean,automatic,2011 RAM 5500,4wd,truck,6 cylinders,9
"2020 MERCEDES-BENZ AMG G63 GWAGON! LIKE NEW, NO CLAIMS, LOCAL BC CAR!","319,900",https://regina.craigslist.org/ctd/d/langley-city-2020-mercedes-benz-amg-g63/7488671828.html,10000,,clean,automatic,2020 Mercedes-Benz AMG G63,4wd,SUV,8 cylinders,10
2012 FORD F750 - 21FT ROLLBACK TRUCK W/ WHEEL LIFT *CUMMINS* HYD BRKS,"89,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2012-ford-ft-rollback-truck/7497781886.html,276000,,clean,manual,2012 FORD F750,rwd,truck,6 cylinders,11
1965 mercedes 280 se,"8,000",https://hat.craigslist.org/cto/d/southeastern-alberta-1965-mercedes-280/7488805382.html,66692,,clean,automatic,1965 mercedes benz,rwd,sedan,6 cylinders,12
2007 WORKHORSE W42 - UTILITY / STEP VAN *ONLY 71K* GENERATOR /INVERTER,"43,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2007-workhorse-w42-utility/7502049446.html,71000,,clean,automatic,2007 workhorse w42 step van,rwd,truck,8 cylinders,13
2009 GMC Sierra 3500 HD - UTILITY / SERVICE TRUCK *6.0L VORTEC V8 GAS*,"22,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2009-gmc-sierra-3500-hd/7492034825.html,192000,,clean,automatic,2009 GMC Sierra 3500 HD,rwd,truck,8 cylinders,14
2021 MERCEDES-BENZ AMG G63 GWAGON! RARE COLOR COMBO! CUSTOM STARLIGHT!,"359,900",https://regina.craigslist.org/ctd/d/langley-city-2021-mercedes-benz-amg-g63/7489084624.html,8100,,clean,automatic,2021 Mercedes-Benz AMG G63,4wd,SUV,8 cylinders,15
2021 MERCEDES-BENZ AMG G63 GWAGON! RARE COLOR COMBO! CUSTOM STARLIGHT!,"359,900",https://regina.craigslist.org/ctd/d/langley-city-2021-mercedes-benz-amg-g63/7489086797.html,8100,,clean,automatic,2021 Mercedes-Benz AMG G63,4wd,SUV,8 cylinders,16
