title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2006 Audi A4 Convertible,"15,000",https://toronto.craigslist.org/drh/cto/d/oshawa-central-2006-audi-a4-convertible/7502444550.html,151000,,clean,automatic,2006 audi a4 convertible,,convertible,4 cylinders,1
"2010 Black Mercedes C300 145,000 km","10,000",https://toronto.craigslist.org/tor/ctd/d/central-toronto-2010-black-mercedes-km/7502457662.html,145000,WDDGF8BB4AF520362,clean,automatic,2010 mercedes benz c300,4wd,sedan,,2
2007 Mercedes C280 Avantgard 4MATIC,"4,500",https://toronto.craigslist.org/tor/cto/d/willowdale-east-2007-mercedes-c280/7497074637.html,42000,,clean,automatic,2007 Mercedes Benz c280 4matic,4wd,sedan,6 cylinders,3
2015 DODGE JOURNEY CVP LIKE NEW,"16,500",https://toronto.craigslist.org/tor/cto/d/etobicoke-2015-dodge-journey-cvp-like/7502501363.html,37500,,clean,automatic,2015 dodge journey se,fwd,SUV,4 cylinders,4
2019 FORD MUSTANG GT 5.0 PERFORMANCE PKG |BREMBO|RECARO|NAV|CAM,"54,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2019-ford-mustang-gt-50/7495124447.html,22300,,clean,automatic,2019 FORD MUSTANG GT 5.0,rwd,coupe,8 cylinders,5
2020 CHEVROLET CORVETTE STINGRAY Z51 PKG 495HP |CARPLAYNAV|CAMERA,"132,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2020-chevrolet-corvette/7497644076.html,8500,,clean,automatic,2020 chevrolet corvette z51,rwd,coupe,8 cylinders,6
2018 LAND ROVER RANGE ROVER TD6 HSE FULL SIZE DIESEL |ADAPTIVCRUZ|HUD,"98,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2018-land-rover-range-rover/7499733863.html,57800,,clean,automatic,2018 land rover range rover hse td6,4wd,SUV,6 cylinders,7
2017 PORSCHE CAYENNE GTS AWD 440HP PREMIUM PACKAGE PLUS |NAV|CAM|RED,"83,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2017-porsche-cayenne-gts/7500632486.html,44400,,clean,automatic,2017 PORSCHE CAYENNE GTS,4wd,SUV,6 cylinders,8
"2019 PORSCHE CAYENNE TURBO |ADAPTIVCRUZ|360CAM|CARBONINT|22""ALLOY","134,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2019-porsche-cayenne-turbo/7500632721.html,39000,,clean,automatic,2019 PORSCHE CAYENNE TURBO,4wd,SUV,8 cylinders,9
2019 BMW X4 xDrive30i |NAV|CAMERA|HUD|PANO|AMBINETLIGHT|WARR|1OWNER,"57,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2019-bmw-x4-xdrive30i/7501736852.html,54500,,clean,automatic,2019 bmw x4 xdrive30i,4wd,SUV,4 cylinders,10
"2018 JAGUAR F-PACE S AWD |NAV|CAMERA|PANO|BLINDSPT|LANEASSIST|22""RIMS","52,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2018-jaguar-pace-awd/7492928444.html,93500,,clean,automatic,2018 jaguar e-pace s,4wd,SUV,6 cylinders,11
2019 PORSCHE CAYENNE PREMIUM PACKAGE PLUS AWD 335HP |NAV|PANO,"84,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2019-porsche-cayenne/7493927972.html,56500,,clean,automatic,2019 PORSCHE CAYENNE,4wd,SUV,6 cylinders,12
2013 BENTLEY CONTINENTAL GT W12 MULLINER PKG 567HP |NAV|CAM|NAIMSOUND,"127,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2013-bentley-continental-gt/7498799751.html,63945,,clean,automatic,2013 BENTLEY CONTINENTAL GT,4wd,coupe,12 cylinders,13
2018 BMW M4 ULTIMATE/COMPETITION PKG 444HP MANUAL |CARBONINT|HUD|NAV,"94,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2018-bmw-m4-ultimate/7497351609.html,20800,,clean,manual,2018 BMW M4 ULTIMATE,rwd,coupe,6 cylinders,14
2019 MERCEDES BENZ S 560 4MATIC LWB AMG |NAV|360CAM|HUD|ADAPTIVCRUZ,"102,777",https://toronto.craigslist.org/tor/ctd/d/scarborough-2019-mercedes-benz-560/7496786730.html,47800,,clean,automatic,2019 MERCEDES BENZ S 560 LWB,4wd,sedan,8 cylinders,15
2015 Nissan Sentra SV -AUTO LOADED -WARRANTY!,"8,988",https://toronto.craigslist.org/mss/ctd/d/hamilton-2015-nissan-sentra-sv-auto/7501067084.html,178000,,clean,automatic,2015 nissan sentra sv,,,,16
Buying a Car? Bring a Mechanic,150,https://toronto.craigslist.org/tor/cto/d/etobicoke-buying-car-bring-mechanic/7494366976.html,10,,clean,automatic,2012 Auto Inspection,,,,17
1937 Ford cabriolet,"56,000",https://toronto.craigslist.org/tor/cto/d/maple-ridge-east-1937-ford-cabriolet/7494592777.html,5000,,clean,automatic,1937 ford,,,,18
Audi Q3 Progressiv,"45,500",https://toronto.craigslist.org/tor/cto/d/downsview-central-audi-q3-progressiv/7494640883.html,71300,WA1EECF33L1033285,lien,automatic,2020 audi q3 progressiv,4wd,SUV,4 cylinders,19
"Honda Civic 2006, Great shape","6,500",https://toronto.craigslist.org/yrk/cto/d/keswick-honda-civic-2006-great-shape/7494673918.html,308815,,clean,automatic,2006 honda civic,fwd,sedan,4 cylinders,20
Chevrolet Cargo Van Extended - LOW 61KM,"18,000",https://toronto.craigslist.org/tor/cto/d/north-york-chevrolet-cargo-van-extended/7494786644.html,61000,,clean,automatic,2005 chevrolet express cargo van,,,,21
toyota mr2,"30,000",https://toronto.craigslist.org/tor/cto/d/downtown-toronto-toyota-mr2/7495028768.html,123,,clean,manual,1992 toyota mr2,,,,22
2008 Honda Accord Lx 4Dr,"7,770",https://toronto.craigslist.org/tor/cto/d/north-york-2008-honda-accord-lx-4dr/7495034774.html,252610,,clean,automatic,2008 2008 honda accord lx,fwd,sedan,4 cylinders,23
2015 Dodge Grand Caravan,"19,900",https://toronto.craigslist.org/tor/cto/d/scarborough-2015-dodge-grand-caravan/7495096686.html,40163,,clean,automatic,2015 dodge grand caravan,,,,24
Toyota 4Runner,"5,000",https://toronto.craigslist.org/tor/cto/d/toronto-toyota-4runner/7495126922.html,275000,,clean,automatic,2002 toyota 4runner 4wd,4wd,SUV,,25
2014 Chevrolet equinox,"13,000",https://toronto.craigslist.org/tor/cto/d/brampton-northwest-2014-chevrolet/7495317370.html,176000,,clean,automatic,2014 Equinox 2014,4wd,SUV,4 cylinders,26
VINTAGE PORSCHE FOR SALE,"9,000",https://toronto.craigslist.org/tor/cto/d/toronto-vintage-porsche-for-sale/7495391123.html,180000,,clean,manual,1980 porsche 928,rwd,other,8 cylinders,27
"Car AC Recharge / Refill by R134a $50, by 1234yf $80",50,https://toronto.craigslist.org/tor/cto/d/north-york-car-ac-recharge-refill-by/7483755943.html,100000,,clean,other,2014 any,fwd,,other,28
1977 Pontiac Grand Prix T-BAR Roof,"25,000",https://toronto.craigslist.org/tor/cto/d/north-york-1977-pontiac-grand-prix-bar/7495598221.html,47800,,clean,automatic,1977 1977 Pontiac Grand Prix T-Bar,rwd,coupe,8 cylinders,29
Excellent Condition 2010 Mazda 6 GS V6,"10,000",https://toronto.craigslist.org/mss/cto/d/mississauga-excellent-condition-2010/7495690465.html,91589,,clean,automatic,2010 mazda 6,fwd,sedan,6 cylinders,30
2016 Dodge Caravan,"12,750",https://toronto.craigslist.org/tor/cto/d/north-york-2016-dodge-caravan/7495739905.html,140000,,clean,automatic,2016 dodge grand caravan,,,,31
Excellent Condition 2010 Mazda 6 GS V6,"12,000",https://toronto.craigslist.org/mss/cto/d/mississauga-excellent-condition-2010/7495772056.html,91589,,clean,automatic,2010 mazda mazda6,fwd,sedan,4 cylinders,32
2021 AUDI RS6 AVANT! SKIP THE 2-YR WAIT! HIGHLY OPTIONED! NO CLAIMS!,"179,900",https://toronto.craigslist.org/tor/ctd/d/langley-city-2021-audi-rs6-avant-skip/7496086995.html,6500,,clean,automatic,2021 Audi RS6 Avant,4wd,wagon,8 cylinders,33
"2015 Chevrolet Silverado 1500 Z71, 4X4, 4 door, Low KM, Leather, 4 Doo","32,700",https://toronto.craigslist.org/tor/ctd/d/north-york-2015-chevrolet-silverado/7496128734.html,129000,,clean,automatic,2015 chevrolet silverado 1500,,,,34
"2015 Ford Super Duty F-350 SRW Super Crow ,4x4, 4 Door , Automatic , 3","19,900",https://toronto.craigslist.org/tor/ctd/d/2015-ford-super-duty-350-srw-super-crow/7496132368.html,297000,,clean,automatic,2015 ford f350 super duty,,,,35
"2013 Mercedes-Benz GLK-Class 4Matic, Low KM, Navi., Leather, 3/Y Warra","19,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2013-mercedes-benz-glk-class/7496136141.html,155000,,clean,automatic,2013 mercedes-benz glk,,,,36
"2010 Ford F-150 FX4, 4x4, 4 door, Leather sunroof, low km, 3 Years War","16,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2010-ford-150-fx4-4x4-door/7496137366.html,155000,,clean,automatic,2010 ford f-150,,,,37
1972 Ford Mustang Fastback,"28,000",https://toronto.craigslist.org/tor/cto/d/vancouver-1972-ford-mustang-fastback/7496292027.html,100000,,clean,automatic,1972 ford mustang,,,,38
1972 Chevrolet Camaro SS,"32,000",https://toronto.craigslist.org/tor/ctd/d/vancouver-1972-chevrolet-camaro-ss/7496302285.html,100000,,clean,automatic,1972 chevrolet camaro,,,,39
1966 Ford Mustang Fastback GT350,"220,000",https://toronto.craigslist.org/tor/ctd/d/vancouver-1966-ford-mustang-fastback/7496306622.html,100000,,clean,manual,1966 ford mustang,,,,40
1954 Chevrolet 3100 Truck,"39,000",https://toronto.craigslist.org/tor/ctd/d/vancouver-1954-chevrolet-3100-truck/7496309868.html,100000,,clean,automatic,1954 chevrolet 3100 truck,,,,41
2005 Chevy Silverado,"2,500",https://toronto.craigslist.org/tor/cto/d/windsor-2005-chevy-silverado/7496311462.html,104000,,clean,automatic,2005 chevrolet silverado 1500,,,,42
1971 Dodge GTX,"95,000",https://toronto.craigslist.org/tor/ctd/d/vancouver-1971-dodge-gtx/7496317042.html,100000,,clean,automatic,1971 dodge gtx,,,,43
1966 Dodge Charger RT,"50,000",https://toronto.craigslist.org/tor/ctd/d/vancouver-1966-dodge-charger-rt/7496333459.html,100000,,clean,automatic,1966 dodge charger,,,,44
1984 Porsche 911 Carrera,"96,000",https://toronto.craigslist.org/tor/ctd/d/vancouver-1984-porsche-911-carrera/7496369261.html,100000,,clean,manual,1984 porsche 911 carrera,,,,45
2001 Nissan Silvia S15 R,"49,800",https://toronto.craigslist.org/tor/ctd/d/vancouver-2001-nissan-silvia-s15/7496385708.html,100000,,clean,manual,2001 nissan silvia,,,,46
