title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
1996 Toyota 4Runner,"8,500",https://vancouver.craigslist.org/van/cto/d/vancouver-1996-toyota-4runner/7502828680.html,428000,,clean,automatic,1996 toyota 4runner,,,,1
*AMG>2019 MERCEDES E53 4MATIC BLACK !49KMS,"75,900",https://vancouver.craigslist.org/rch/ctd/d/richmond-northeast-amg2019-mercedes-e53/7502830551.html,49000,,clean,automatic,2019 MERCEDES E53,4wd,sedan,8 cylinders,2
2019 Mitsubishi Eclipse Cross GT | No claims | Local BC |,"34,998",https://vancouver.craigslist.org/rch/ctd/d/richmond-2019-mitsubishi-eclipse-cross/7502830733.html,48555,,clean,automatic,2019 mitsubishi eclipse cross gt,4wd,SUV,4 cylinders,3
1994  4WD TOYOTA PREVIA CAMPER VAN,"10,900",https://vancouver.craigslist.org/van/cto/d/new-westminster-southwest-wd-toyota/7501642665.html,240200,JT3AC22S1R1025779,clean,automatic,1994 TOYOTA PREVIA,4wd,van,4 cylinders,4
Jeep Wrangler TJ,"10,500",https://vancouver.craigslist.org/van/cto/d/vancouver-jeep-wrangler-tj/7490956281.html,300008,,clean,manual,2001 jeep wrangler 4x4 Jeep TJ,4wd,SUV,6 cylinders,5
Acura tlx awd,"24,990",https://vancouver.craigslist.org/van/cto/d/richmond-west-acura-tlx-awd/7502829906.html,38000,,clean,automatic,2015 acura tlx,,sedan,,6
2017 Ford Fusion SE AWD Leather Sunroof Navigation Camera FREE Warranty!!,"17,900",https://vancouver.craigslist.org/pml/ctd/d/2017-ford-fusion-se-awd-leather-sunroof/7502831933.html,185012,3FA6P0T94HR331102,clean,automatic,2017 Ford Fusion,4wd,sedan,,7
Honda Accord coupe,"27,500",https://vancouver.craigslist.org/rch/cto/d/richmond-south-honda-accord-coupe/7502830363.html,81000,,clean,automatic,2017 honda accord,fwd,coupe,4 cylinders,8
"QUICK, REAL QUICK-2008 WRX WITH HUGE TURBO AND MANY MODS","16,995",https://vancouver.craigslist.org/nvn/cto/d/nanaimo-north-quick-real-quick-2008-wrx/7498840246.html,134000,,clean,manual,2008 subaru wrx,,,,9
⭐️⭐️2022 Ram 1500 classic SLT*quad cab*all credit/trade welcome*⭐️,"70,441",https://vancouver.craigslist.org/pml/ctd/d/port-coquitlam-central-2022-ram-1500/7502832594.html,17,,clean,automatic,2022 1500 classic slt,4wd,pickup,8 cylinders,10
2014 Ford Escape SE Automatic Heated Seats FREE Warranty!!,"14,900",https://vancouver.craigslist.org/pml/ctd/d/2014-ford-escape-se-automatic-heated/7502834025.html,152502,1FMCU0GX7EUC55325,clean,automatic,2014 Ford Escape,fwd,SUV,,11
