title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
"2014 Huyundai Sante Fe xl/ 164,000 k/ $9999.00","9,999",https://kitchener.craigslist.org/cto/d/kitchener-2014-huyundai-sante-fe-xl/7485244145.html,164000,,clean,automatic,2014 2014 Huyundai Sante Fe Xl,fwd,SUV,6 cylinders,1
07 Mazda 3 parts car,"1,650",https://guelph.craigslist.org/cto/d/cambridge-northeast-07-mazda-parts-car/7484754526.html,205000,,clean,manual,2007 mazda mazda3,fwd,sedan,4 cylinders,2
2007 Ford Explorer - V6 Eddie Bauer,"6,500",https://londonon.craigslist.org/ctd/d/2007-ford-explorer-v6-eddie-bauer/7485679815.html,199061,1FMEU74E77UA59957,clean,automatic,2007 Ford Explorer,4wd,SUV,6 cylinders,3
2008 Dodge Ram 1500,"15,000",https://brantford.craigslist.org/cto/d/brantford-southwest-2008-dodge-ram-1500/7490690965.html,308000,,clean,manual,2008 dodge ram 1500 4x4,4wd,pickup,8 cylinders,4
2017 Dodge Journey,"20,700",https://windsor.craigslist.org/cto/d/kent-2017-dodge-journey/7502669338.html,67536,,clean,automatic,2017 dodge journey,,,,5
ford f650 2006 - 4 door,"25,000",https://kitchener.craigslist.org/cto/d/kitchener-ford-door/7487363567.html,163000,,rebuilt,automatic,2006 ford f650,fwd,truck,6 cylinders,6
2008 Mercedes-Benz CLK-Class 2dr Cpe 3.5L,"6,500",https://londonon.craigslist.org/ctd/d/2008-mercedes-benz-clk-class-2dr-cpe-35l/7485684565.html,232800,WDBTJ56H08F256179,clean,automatic,2008 Mercedes-Benz CLK-Class,rwd,coupe,6 cylinders,7
'99 Saturn SL1,"1,500",https://guelph.craigslist.org/cto/d/milton-99-saturn-sl1/7491186830.html,230,,clean,automatic,1999 Saturn SL 1,fwd,sedan,4 cylinders,8
2007 Mercedes-Benz S550 - Sdn 5.5L V8 4MATIC,"8,999",https://londonon.craigslist.org/ctd/d/2007-mercedes-benz-s550-sdn-55l-v8/7485689356.html,247626,WDDNG86X37A105971,clean,automatic,2007 Mercedes-Benz S-Class,4wd,sedan,8 cylinders,9
2007 Saturn VUE - FWD V6 Auto,"3,999",https://londonon.craigslist.org/ctd/d/2007-saturn-vue-fwd-v6-auto/7485693770.html,232492,5GZCZ53447S815636,clean,automatic,2007 Saturn VUE,fwd,SUV,6 cylinders,10
2005 Pontiac Grand Am,950,https://sarnia.craigslist.org/cto/d/sarnia-southwest-2005-pontiac-grand-am/7495735978.html,264806,,clean,automatic,2005 pontiac grand am,,,,11
2013 V6 RS 2LT Camaro,"15,000",https://brantford.craigslist.org/cto/d/brantford-southwest-2013-v6-rs-2lt/7496897850.html,275000,,clean,manual,2013 chevy camaro rs 2LT,rwd,coupe,6 cylinders,12
2008 Toyota Matrix XR - Manual,"5,999",https://londonon.craigslist.org/ctd/d/2008-toyota-matrix-xr-manual/7485706274.html,176241,2T1KR32E88C704649,clean,manual,2008 Toyota Matrix,fwd,hatchback,4 cylinders,13
2006 Toyota Camry LE - Sedan V6 Auto,"4,500",https://londonon.craigslist.org/ctd/d/2006-toyota-camry-le-sedan-v6-auto/7485740145.html,264201,4T1BF32K46U113597,clean,automatic,2006 Toyota Camry,fwd,sedan,6 cylinders,14
2006 Toyota Camry LE - Sedan V6 Auto,"4,500",https://londonon.craigslist.org/ctd/d/2006-toyota-camry-le-sedan-v6-auto/7488636407.html,264201,4T1BF32K46U113597,clean,automatic,2006 Toyota Camry,fwd,sedan,6 cylinders,15
2013 VW Passat TDI,"7,900",https://londonon.craigslist.org/cto/d/middlesex-2013-vw-passat-tdi/7491312981.html,235000,,rebuilt,automatic,2013 vw passat,fwd,sedan,4 cylinders,16
2006 GMC Z-71 4x4,"21,000",https://chatham.craigslist.org/cto/d/newbury-2006-gmc-71-4x4/7499463550.html,100000,,clean,automatic,2006 gmc sierra 1500,4wd,truck,8 cylinders,17
2010 Audi A5 - Cpe Auto 3.2L,"11,999",https://londonon.craigslist.org/ctd/d/2010-audi-a5-cpe-auto-32l/7494322326.html,204649,WAUDKBFR3AA004467,clean,automatic,2010 Audi A5,4wd,coupe,6 cylinders,18
2011 BMW 3 Series - Sdn 328i xDrive AWD,"7,500",https://londonon.craigslist.org/ctd/d/2011-bmw-series-sdn-328i-xdrive-awd/7485665795.html,286200,WBAPK7C53BA818180,clean,automatic,2011 BMW 3-Series,4wd,sedan,6 cylinders,19
2008 BMW 750Li,"2,500",https://londonon.craigslist.org/ctd/d/2008-bmw-750li/7494330014.html,165000,WBAHN83578DT86007,clean,automatic,2008 BMW 7-Series,rwd,sedan,8 cylinders,20
2002 BMW 7 Series 745iL Sedan,"5,999",https://londonon.craigslist.org/ctd/d/2002-bmw-series-745il-sedan/7485670369.html,133741,WBAGN63442DR07070,clean,automatic,2002 BMW 7-Series,rwd,sedan,8 cylinders,21
2010 Cadillac DTS Luxury Collection,"7,999",https://londonon.craigslist.org/ctd/d/2010-cadillac-dts-luxury-collection/7494338422.html,271525,1G6KD5EY5AU124397,clean,automatic,2010 Cadillac DTS,fwd,sedan,8 cylinders,22
2008 Dodge Charger - Sdn RWD,"6,500",https://londonon.craigslist.org/ctd/d/2008-dodge-charger-sdn-rwd/7485675053.html,180987,2B3KA43G78H278781,clean,automatic,2008 Dodge Charger,rwd,sedan,6 cylinders,23
2008 Mercedes-Benz CLK350 Coupe,"6,500",https://londonon.craigslist.org/ctd/d/2008-mercedes-benz-clk350-coupe/7488619326.html,232800,WDBTJ56H08F256179,clean,automatic,2008 Mercedes-Benz CLK-Class,rwd,coupe,6 cylinders,24
