title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2010 FORD EXPLORER -  PRICED TO SELL,"8,500",https://winnipeg.craigslist.org/cto/d/winnipeg-2010-ford-explorer-priced-to/7485532796.html,237800,,clean,automatic,2010 ford explorer,4wd,SUV,8 cylinders,1
2020 MERCEDES-BENZ AMG S63 CABRIOLET! RARE! LIKE NEW! ONLY 4000KM!,"244,900",https://winnipeg.craigslist.org/ctd/d/langley-city-2020-mercedes-benz-amg-s63/7486296315.html,4000,,clean,automatic,2020 Mercedes-Benz AMG S63 Cabriolet,4wd,convertible,8 cylinders,2
2018 Chevrolet Colorado Z71,"44,500",https://winnipeg.craigslist.org/cto/d/eastern-manitoba-2018-chevrolet/7488339998.html,49500,,clean,automatic,2018 chevrolet colorado z71,4wd,truck,6 cylinders,3
"2020 MERCEDES-BENZ AMG G63 GWAGON! LIKE NEW, NO CLAIMS, LOCAL BC CAR!","319,900",https://winnipeg.craigslist.org/ctd/d/langley-city-2020-mercedes-benz-amg-g63/7488675288.html,10000,,clean,automatic,2020 Mercedes-Benz AMG G63,4wd,SUV,8 cylinders,4
2019 BMW X2 28i,"9,500",https://winnipeg.craigslist.org/cto/d/winnipeg-2019-bmw-x2-28i/7489058816.html,48119,,clean,automatic,2019 BMW X2 28i,4wd,sedan,,5
2021 MERCEDES-BENZ AMG G63 GWAGON! RARE COLOR COMBO! CUSTOM STARLIGHT!,"359,900",https://winnipeg.craigslist.org/ctd/d/langley-city-2021-mercedes-benz-amg-g63/7489088233.html,8100,,clean,automatic,2021 Mercedes-Benz AMG G63,4wd,SUV,8 cylinders,6
2017 MERCEDES-BENZ G550 4X4 SQUARED! LOCAL BC! OWN A PIECE OF HISTORY!,"269,900",https://winnipeg.craigslist.org/ctd/d/langley-city-2017-mercedes-benz-g550/7490660682.html,54000,,clean,automatic,2017 Mercedes-Benz G550 4x4 Squared,4wd,SUV,8 cylinders,7
2017 Gmc Sierra 3500 duramax diesel,"59,500",https://winnipeg.craigslist.org/cto/d/headingley-west-2017-gmc-sierra-3500/7490990174.html,129000,,clean,automatic,2017 gmc sierra 3500HD,4wd,,8 cylinders,8
2009 Kenworth T800 tri axle dump truck,"75,000",https://winnipeg.craigslist.org/ctd/d/maple-ridge-east-2009-kenworth-t800-tri/7491870632.html,700000,,clean,manual,2009 kenworth t800,,,,9
2009 BMW 3 Series,"12,800",https://winnipeg.craigslist.org/ctd/d/winnipeg-2009-bmw-series/7493673982.html,180000,,clean,automatic,2009 bmw 3 series,,,,10
2010 Hyundai Santa Fe GL w-SPORT*AWD*V6*LOW MILEAGE*MINT CONDITION*,"14,885",https://winnipeg.craigslist.org/ctd/d/winnipeg-2010-hyundai-santa-fe-gl/7490644103.html,150800,,clean,automatic,2010 hyundai santa fe,,,,11
2015 Honda Accord Coupe EX-L w/Navi*Leather*Blind Spot Camera*Sunroof*,"20,400",https://winnipeg.craigslist.org/ctd/d/winnipeg-2015-honda-accord-coupe-ex-w/7483582253.html,113000,,clean,automatic,2015 honda accord ex-l,,,,12
2017 Chevrolet Malibu LT,"1,300",https://winnipeg.craigslist.org/cto/d/southwestern-manitoba-2017-chevrolet/7494122628.html,11000,,clean,automatic,2017 chevrolet,,,,13
2016 Nissan Sentra,"15,000",https://winnipeg.craigslist.org/cto/d/springfield-2016-nissan-sentra/7494188006.html,119066,,clean,automatic,2016 nissan sentra,,sedan,4 cylinders,14
2010 Hyundai Santa Fe,"6,500",https://winnipeg.craigslist.org/cto/d/springfield-2010-hyundai-santa-fe/7494190542.html,208000,,clean,automatic,2010 hyundai santa fe limited,4wd,SUV,6 cylinders,15
"2019 BMW 7 Series 750i xDrive | TURBO PREMIUM | JUST 31,000 KM'S","77,485",https://winnipeg.craigslist.org/ctd/d/winnipeg-2019-bmw-series-750i-xdrive/7494799187.html,31000,WBA7B0C5XKG527440,clean,automatic,2019 bmw 750i,4wd,sedan,8 cylinders,16
𝟐𝟎𝟏𝟗 𝐍𝐈𝐒𝐒𝐀𝐍 𝐑𝐎𝐆𝐔𝐄 𝐒𝐕,"26,370",https://winnipeg.craigslist.org/ctd/d/winnipeg/7493672120.html,114700,,clean,automatic,2019 nissan rogue sv,4wd,SUV,4 cylinders,17
